mrr: 0 qid: 0 1868875	674575	887366	1680838	2010942	2334142	2151336	2195417	1160960	2714247	860087	863793	2067668	1593169	378414	2168954	570855	347966	1306977	1963737	2627500	2196129	1608670	32865	2849863	2212503	3176460	2360558	1432528	2539962	679085	231090	1722626	925304	2584252	214668	304189	1416278	2361587	1564301	1743160	829037	409476	351327	1476914	3203402	746341	867254	1383414	1868747	2245144	2124979	898262	1644210	2532159	2438521	2098190	1154259	273035	2104972	1777211	278995	1571456	1135338	747516	70165	1049619	1499150	2035594	1452834	1838291	719362	491914	2032321	2463725	933389	3112894	676653	2164021	3057628	1977175	896810	2764288	693191	2130537	2851550	391022	1736508	43355	1326125	2826667	2777955	3009160	2413872	2867718	741775	1850414	364807	1074883	2659127
mrr: 1.0 qid: 8 257878	1026351	2358145	1580635	2806074	2708443	728882	1065311	2798334	386760	2692893	618219	323384	2463374	2032599	2960625	1761399	2003048	2932319	3051305	1456332	1520074	915992	2848618	1746470	3081130	2669546	2993278	2796809	3147413	1151356	443562	2354172	188437	208123	2174862	1212932	814621	814433	2581700	2066979	929431	1235268	749055	1124336	2354209	2887071	63074	1327730	1523129	1336854	1666269	1412272	2638950	3008475	2965848	1556319	1699947	1555977	1172521	1323701	974080	564762	1701250	2143933	2533850	1875897	2733688	712255	249405	1431029	1684480	255960	2682273	448806	2268428	3013531	1750968	1438175	1436117	822463	2046601	918505	789611	1433385	3135815	1207422	1907074	2022128	467665	361861	2029625	2410102	1074767	1973612	1927291	3093654	108582	890115	1011120
mrr: 0 qid: 16 2511273	2681045	360255	1372027	2003040	745281	1600404	1935295	111783	976702	1589978	1503148	698058	606048	1723824	1352308	23836	9635	2103795	78257	1733012	3018037	342717	2866460	2074898	2462651	1316808	2860322	113768	2654449	314887	3000609	2387851	1036003	24003	691660	674194	2144141	948754	954175	1202687	2178929	1719109	1536948	1561295	1560468	2066060	1591555	3029427	1338304	1569639	1209049	2644874	1971566	1975671	2830458	3085650	1644520	266167	163743	288653	2773736	891837	1063651	2200987	2615417	1673193	2250446	506321	1518244	285585	1131661	3144650	2621308	2919283	236570	3053657	2705631	3029614	1465451	3089002	2847656	2332822	2794758	1468529	603872	2038402	2714966	1705813	483066	1473916	1451083	2262602	854290	421836	1573645	1271707	1211355	77110	3018911
mrr: 1.0 qid: 24 211677	2100498	757336	945679	1434088	3148730	1862963	1062681	2419718	1399481	1428719	435188	3103768	17582	1107204	2438812	255084	974233	2057797	880536	1373433	1252697	546050	180355	1823692	1622621	2950228	1219093	2361085	1746952	212568	181329	1138827	3024214	2857436	2991189	535402	1367829	2553465	2589869	1807846	1750428	2910497	1092570	2907764	720968	3130318	3202216	51172	1081898	1092876	1571938	2745066	139026	117644	2487527	1367592	1832639	1662875	1726749	1625015	193431	714411	2611976	2006443	2011276	2093730	2436068	280626	3180214	687714	2522203	2736096	2033185	1359488	2183548	2563108	779962	1577634	240616	887347	67448	2665834	352381	1165784	1630291	2080458	2875947	1699140	1789792	907232	594945	2577761	1597131	2669081	2368746	393495	2522422	712437	2117458
mrr: 0.08333333333333333 qid: 32 994917	2202229	213360	2450050	1155401	2389118	1595756	952819	624276	2044496	1993129	1210035	200057	353874	1421773	1639438	1255913	2900767	1883983	2179765	2575332	3001857	314249	2469681	1977019	455993	1752428	875592	677066	791064	1662264	444791	1915059	3174138	1550684	1747404	941775	2905466	3122853	162582	422756	2235289	1159859	137721	2580677	2786064	1490924	413228	2870658	1616267	1979311	231730	1893835	1727516	1430755	913378	1212405	1207041	177017	2127817	607225	1198070	851710	1754031	568319	1579079	715784	79443	1288012	1277191	2171674	1101869	2606282	152740	2916798	966451	2095252	672963	3010930	1581066	2282729	3109923	1195101	128809	1325254	3150524	610343	760924	2398306	1896542	2272721	1623899	1913389	2268224	2331568	1898075	1424785	1225159	3190480	2615756
mrr: 0 qid: 40 2838454	1718686	2583726	686764	540528	1324998	2497983	1845533	1643647	2629731	2986673	1532279	829857	276964	2093661	2054960	1522446	2487842	249689	2660829	1285241	2309077	2350006	809467	1614554	1874501	2748145	2792866	495170	2364703	2375002	2140592	1902134	681169	1322006	2609603	430635	2988739	504624	84399	1017335	300452	863721	265884	122255	3049146	2914183	1419463	1745640	3091280	2290727	369584	535058	2317231	327881	39156	608685	1583369	1514528	1975394	1653524	1419017	295762	1509765	506620	2571614	2279567	10235	2700444	1583487	1773893	2911867	2783323	1379401	161162	470491	428144	2995699	1433418	2582316	1894915	2853959	2378364	2229857	2331925	2415231	1274642	3026996	2414259	1126318	1014992	2992687	2685306	2475202	2732249	2922870	1995264	374073	471631	1719404
mrr: 1.0 qid: 48 2571628	1378924	2530786	1996933	392720	124540	975894	1764136	1225270	1492434	1111158	468338	1393374	3122085	669226	184487	1993215	60356	621304	184364	90363	2519443	1276460	419679	1361225	2344768	1627134	3169430	2332400	1485579	1331472	1215513	3203567	2827444	1070474	2989169	1640224	2172909	2347869	1814335	658826	1943673	1476609	2792646	1625700	1867935	2884762	1251883	1911451	1466052	2350329	2558612	2251064	2156503	2747697	2802562	408608	2121941	3049418	1735086	3136088	1859330	133670	1891366	341969	1461372	2628406	2046069	93826	1983308	87964	35125	210219	3144101	1948388	2382060	80277	309042	1535753	1199657	1600951	2076618	841180	210186	2498316	1053986	1489830	1316347	1442778	1614831	2769371	1673197	479035	3165783	837530	1985040	880128	2707665	2089066	761744
mrr: 0 qid: 56 40818	1749057	142037	2320099	823608	669414	1778983	3053775	3118293	1490010	849597	2184426	2393150	1715786	189918	411061	3509	1189300	1288520	286078	1583955	2427769	2514172	1087674	109248	2590243	764163	1278998	2401975	2903187	2827060	1369380	2898682	1984630	1802750	252006	888788	1824104	2363557	2682132	2971338	1830243	1777602	148344	1898172	3139692	566085	1505944	683515	30059	482229	311302	762067	1610725	1617576	2611023	2782070	2323799	2036547	2870876	2670900	978107	1506487	3134112	8070	750900	1614547	1309521	69453	2656880	2225899	1124672	1284598	296019	1465978	1837560	1568221	2461827	1015781	274024	3184077	462811	1861375	378214	2852520	1023174	782252	1257786	2578062	1162820	2384713	1406724	398000	1513877	1803965	3025145	828000	542997	2794723	170361
mrr: 0.25 qid: 64 2883062	1733092	2900615	841214	941316	2156130	207190	1838316	1873439	1411845	258997	1277529	2892415	440889	2246126	1456356	1009012	2308761	2476556	2231329	1971188	769306	2784988	1782040	2090839	2875236	1465356	3087470	1439150	888461	3077914	2359559	2510052	1749790	903648	1924602	1328005	180563	2511048	1454210	1427906	1564958	2626326	294821	2155254	2926696	1859400	1322110	850016	2155789	604924	1258634	192059	1071425	2641021	1602404	1854603	197305	316402	390951	1871727	1323416	320862	2566561	869288	418488	1742251	415582	974130	2603087	2643444	1848606	2149726	3039486	2487263	215394	942714	294904	643093	897196	1887713	1300345	3159660	10146	761008	46773	459842	1758658	1307919	492510	209576	48210	1677499	2333208	2556572	276254	2407758	543330	386971	553843
mrr: 0.2 qid: 72 1435725	424964	221801	3191308	2253979	2114138	914908	1796666	2024214	2597808	1769259	3158870	2808877	890824	1426512	2070665	2772694	2018566	1807548	760627	2859289	1499571	1015588	3031832	611043	3126133	390598	2056104	2233436	857747	163596	723261	855684	1158268	417297	1302230	203966	2061097	2308044	3067081	505721	402536	2787664	559756	2680935	119227	1572737	353946	2126834	1898268	692599	1381943	3027553	1739345	998877	522526	443981	1058528	172709	2496233	830150	1844633	2372500	1893502	2880837	1210878	289230	2137589	608825	1229086	1886611	3122006	1013496	1508321	1480111	3132977	1924963	1651440	594783	1464698	1518540	211002	3020057	792635	2973380	446536	457951	2204249	1493834	1829230	2709076	872467	1417282	1448463	2921026	65096	2817146	212156	1477955	1102920
