mrr: 0 qid: 0 1868875	674575	1593169	861561	1369581	1434460	1617671	1868747	347966	43355	378856	101583	1160960	2573472	2402600	2110604	162638	860087	646964	1902197	633100	1350893	2026502	1552425	2124979	1609701	1208904	966424	2714247	981536	1850414	2353962	1154259	287225	2743028	2937058	2245144	524815	1680838	12431	939804	1383414	2885691	290074	863793	2194148	2810409	565939	2737348	2294969	1699642	967279	3119181	1440504	396782	1127361	2710198	2900517	2774236	1107689	3057167	2584252	1149866	77645	1160069	3051480	669709	1960908	2678004	1938789	1790098	867254	547849	2903892	2719018	917914	1356161	290348	220529	453837	3120842	2845200	679085	1522296	2137138	674554	1277080	2425869	921744	486906	378414	2014525	1601869	251541	2311621	1779074	2084889	1138590	2769075	890899
mrr: 1.0 qid: 8 257878	2708443	2806074	618219	2463374	386760	1065311	1026351	2358145	2032599	915992	2798334	2692893	728882	1761399	1456332	2932319	323384	1580635	1327730	249405	3081130	1431029	1520074	2003048	1124336	2960625	2581700	1203788	2354172	2796809	1556319	1433385	929431	2993278	2354209	1924459	1323701	1875897	1151356	2669546	712255	616874	3051305	789611	2009152	3013531	822463	1438175	188437	2565940	208123	918505	1207422	1172521	320293	2638950	3165485	735829	3147413	443562	821429	2217835	1750968	2848618	1011120	1651712	1523129	3119071	2887071	63074	564762	1403546	2066979	2143933	213729	2965848	1666269	486867	2174862	1555977	1755413	2533850	1973612	1712133	482747	467665	108582	1746470	14793	974080	1032921	568389	2678784	2067430	1690456	1372593	1797945	1701250	1735321
mrr: 0 qid: 16 2511273	360255	1600404	2681045	3000609	2900923	1935295	2003040	24003	1503148	1589978	1518244	2332822	745281	40664	1563728	2654449	1372027	1561295	1202687	1851258	1644520	3029614	1316808	2103795	2074898	483066	2066060	2376724	1573645	23836	976702	1441142	163743	78257	1245052	765035	849374	2144141	2860322	2344082	375509	1239623	2178929	891837	2387851	2866460	1723824	15186	2990685	2938103	2705631	2011705	700233	552157	2250446	1733012	2926748	1063651	1591555	1004453	1074999	3053657	3151502	2150298	3085650	2830458	1479510	920096	2808968	1899080	908350	2390308	606048	1890280	774268	2099874	2929912	1230569	878544	3196835	373262	86933	2901013	1271707	168306	2714966	896191	1916178	312079	2744211	2262602	2773736	2647126	2556073	710970	2798545	1976952	1689091	3062906
mrr: 1.0 qid: 24 211677	2100498	945679	1862963	911445	1268584	564249	1062681	1400015	2950228	2610159	1829841	17582	1750428	3148730	2093730	1287246	374910	435188	1625015	2419718	103928	2967534	1700864	2611976	2768514	3053631	3115717	137476	1403287	737520	596641	2991189	2138195	994890	1197976	2745066	229453	757336	2438812	102029	47388	1252697	766053	2814814	2832158	3202216	1662875	2368746	855462	2449049	1826769	3199108	789123	2910497	2725293	154765	1434088	2692287	507754	2504711	2522422	1367829	438609	2589869	1807067	150095	1145024	67448	1630291	3049879	147386	2277569	1449876	2504964	1972033	399657	3177082	546050	937527	1205532	1811666	534758	2057797	2183548	2563108	1490900	221208	1395859	397518	907232	1373433	2105979	1828478	2581306	2003451	1109016	3121937	378109	1410721
mrr: 0.021739130434782608 qid: 32 994917	213360	2450050	2044496	1155401	2202229	1595756	2469681	1421773	200057	413228	851710	2900767	3122853	353874	2752604	1662264	715784	1993129	490728	624276	952819	137721	1579079	24893	49425	455993	2389118	2606282	821442	314249	1883983	1164220	1639438	1277191	1977019	1550684	128809	1817316	2122508	1288012	3022548	1720002	975912	1664727	1210035	2037676	677066	1893835	177017	193092	2362212	1747404	492003	628514	2905466	1979311	1581066	1605366	1207041	2470730	1101869	422756	1159859	568319	1142748	2214728	955327	874404	1200598	1913389	2870658	2179765	1212405	3001857	249948	3156119	3076580	966451	1753732	1754031	79443	148521	875592	3066144	246450	1178940	369874	191539	1430755	435545	2235289	1981177	8359	1195101	2560657	3031021	3174138	414280	2282729
mrr: 0.011235955056179775 qid: 40 1522446	1845533	2838454	2054960	2497983	2583726	2792866	1017335	1285241	1718686	540528	1324998	2660829	2317231	2986673	686764	495170	84399	3204185	2629731	1643647	265884	122255	2487842	2375002	681169	2853959	1583487	2700444	1902134	2914183	2093661	300452	2350006	276964	1745640	1874501	2748145	863721	2992687	2629066	2140592	249689	1653524	2609603	2309077	1532279	1322006	2331925	2995699	430635	1573490	3049146	428144	608685	1379401	2131202	998305	1419017	1765132	2996629	2571614	952544	374073	809467	1514528	506620	2008545	1583369	591340	274229	369584	161162	3150120	2229857	829857	823034	1153876	373345	10235	2258201	535058	1817113	1281233	2364703	1014992	2222094	1614554	485806	2988739	2911867	2732249	2404866	2538639	470491	1782243	2911218	702899	157380	2807490
mrr: 0.14285714285714285 qid: 48 1492434	1111158	2530786	975894	1993215	1393374	2571628	2519443	1764136	184487	669226	1378924	124540	1215513	1996933	184364	2344768	2827444	1225270	621304	1361225	60356	392720	2802562	3203567	1276460	2989169	468338	3122085	90363	1625700	1331472	1943673	1070474	1627134	3049418	1485579	1814335	2332400	419679	2172909	1983308	341969	1640224	479035	1859330	658826	2251064	93826	2628406	408608	1735086	2347869	3136088	2498316	1251883	2350329	2792646	1867935	1454990	2558612	1985040	1466052	938347	837530	2747697	3169430	1614831	2121941	210219	1476609	2046069	1911451	880128	409295	2967034	2156503	1353729	1891366	1461372	2884762	3165783	49092	2089066	1948388	1535753	309042	1439184	3176535	1600951	133670	80277	1608896	1199657	2197413	269138	1547404	374359	841180	1418274
mrr: 0 qid: 56 1923868	823608	142037	1470987	1038326	2955531	849597	3162197	2193158	1749057	40818	2320099	1141228	1562698	1117713	411061	2679236	742735	1642330	3195926	2084299	3156781	688142	3158458	2256884	2794441	1522952	1414091	1062127	1683301	2143205	256833	3118293	2666598	2497050	1446927	2233966	2330759	1860484	3164677	2837022	2143049	2671476	531579	2109574	2307242	536037	611906	1285156	2389916	2943154	1778983	2061710	2472045	2209917	559775	818099	343452	1855801	2398757	2578062	768694	230343	3509	1313080	155252	330519	2598668	2183015	1668273	1676243	1436390	2344324	2303651	149808	1089049	2915403	1428495	1993643	2714780	257448	912441	383414	326641	3008583	587366	2668764	460998	83885	3039756	1364580	1851400	205358	28332	2983637	1863252	2036547	1764050	1344283	398684
mrr: 0.2 qid: 64 1733092	2883062	2900615	207190	841214	941316	1564958	1451972	1347799	741746	2862702	940444	1553795	1094645	1739596	1003525	1978718	1635616	1950381	1018591	1426047	227989	977018	2970831	2992604	2018514	1952246	1986953	1050230	839199	1181193	2287033	410406	898442	871327	2337807	2123145	1958919	2191094	1859999	1666863	2876716	1873439	3026113	2097278	2986267	1042787	1327856	465992	2377498	2892415	248906	2610427	1629708	1487486	2511048	1567691	2710319	2069937	3079724	221386	2839204	3153360	120558	1622168	775228	1703733	145741	1147789	1386257	392854	2470367	2533152	350196	1481136	2809328	2129767	2621547	1893618	2019182	2754361	2997338	2671439	777426	2717209	2977130	2322294	597294	1814633	810951	599187	1139826	2472674	2751393	119543	1769851	1682147	629198	505661	1280785
mrr: 0.16666666666666666 qid: 72 914908	424964	3191308	1435725	221801	2253979	2114138	2597808	1769259	3031832	2808877	2024214	2233436	3158870	1796666	1015588	2070665	1807548	760627	163596	2772694	390598	1426512	890824	2859289	2018566	1499571	723261	203966	279727	505721	1158268	353946	580048	2056104	3122006	199819	1480111	857747	611043	608825	1302230	3126133	830150	332416	2880837	2940109	2061097	855684	437337	2220309	1572737	2996073	2900447	2594045	1301599	1453752	1454223	1536209	1886611	1360751	2204249	1929250	844852	703743	171315	446536	417297	1187148	574269	49489	2999156	1769289	2482120	180106	2715529	1464698	2931673	457951	1924963	608941	3190791	1058528	1358429	594783	1867870	1855100	782661	2829883	471311	1229086	1683063	1175701	434692	443981	860808	2295593	1747961	439039	2365346
